Recombination Mutation
2.6e-05 0.001
1.957e-05 0.001
0.00050876 0.001
0.00432798 0.001
0.00096272 0.001
0.00123395 0.001
0.00133818 0.001
0.00239383 0.001
0.00235653 0.001
0.00161375 0.001
0.00041758 0.001
0.00021221 0.001
0.00172253 0.001
0.00303056 0.001
0.00549485 0.001
0.00467355 0.001
0.00108538 0.001
0.00195257 0.001
0.00102854 0.001
0.00198725 0.001
0.00263871 0.001
0.010164 0.001
0.0156402 0.001
5.645e-05 0.001
0.00071604 0.001
0.0001529 0.001
0.0005774 0.001
1.938e-05 0.001
0.00015795 0.001
0.00058851 0.001
1.659e-05 0.001
0.00214356 0.001
0.0022186 0.001
0.00062372 0.001
0.00116467 0.001
0.0010675 0.001
0.00061857 0.001
0.00066581 0.001
0.00020995 0.001
0.00042997 0.001
0.00022898 0.001
0.00088869 0.001
0.00044172 0.001
0.00567737 0.001
8.916e-05 0.001
0.0013233 0.001
0.00097397 0.001
0.00062519 0.001
0.0002006 0.001
0.00156702 0.001
0.00011834 0.001
0.00010429 0.001
0.00066696 0.001
3.115e-05 0.001
0.00151559 0.001
0.00053515 0.001
0.00034923 0.001
0.00070452 0.001
0.00078108 0.001
0.0006215 0.001
0.00066474 0.001
0.00152275 0.001
0.00260338 0.001
0.00022406 0.001
0.00244229 0.001
0.00010992 0.001
0.00026189 0.001
0.0553277 0.001
0.00572308 0.001
0.00061825 0.001
0.00025696 0.001
0.00075185 0.001
0.00012 0.001
0.00021138 0.001
6.793e-05 0.001
0.00093418 0.001
0.00106274 0.001
0.00010398 0.001
0.00012767 0.001
0.0001805 0.001
0.00014222 0.001
0.00011386 0.001
4.53e-06 0.001
0.00017893 0.001
0.00013016 0.001
3.152e-05 0.001
1.528e-05 0.001
0.00017431 0.001
0.00085897 0.001
0.0001894 0.001
0.0028711 0.001
0.00181834 0.001
0.00035213 0.001
0.00018909 0.001
0.00053209 0.001
0.00166491 0.001
0.00015181 0.001
0.00056809 0.001
1.079e-05 0.001
7.7e-05 0.001
0.00014488 0.001
2.99e-06 0.001
7.026e-05 0.001
0.00011386 0.001
0.0028288 0.001
0.00086334 0.001
0.00035609 0.001
9.89e-05 0.001
0.00023506 0.001
0.00156821 0.001
0.00012286 0.001
0.00156176 0.001
0.00071093 0.001
0.00073395 0.001
0.00017444 0.001
0.106524 0.001
0.0810561 0.001
0.00124585 0.001
0.00487654 0.001
0.171871 0.001
0.00242965 0.001
0.00010045 0.001
0.00162054 0.001
0.0008479 0.001
0.00053802 0.001
0.00343154 0.001
0.00028812 0.001
0.00179569 0.001
0.00073486 0.001
0.0122354 0.001
0.00015144 0.001
0.00084232 0.001
0.00053796 0.001
3.527e-05 0.001
1.128e-05 0.001
0.00012984 0.001
0.00031046 0.001
6.82e-06 0.001
0.00041285 0.001
0.00032225 0.001
0.00162831 0.001
0.00070381 0.001
0.00032369 0.001
0.00015919 0.001
0.00011316 0.001
4.807e-05 0.001
2.916e-05 0.001
0.00173974 0.001
0.00133407 0.001
0.00090946 0.001
0.00096823 0.001
0.00398681 0.001
0.00055811 0.001
0.00093419 0.001
0.00060119 0.001
0.00105625 0.001
0.00025122 0.001
3.407e-05 0.001
0.00027219 0.001
5.819e-05 0.001
0.00032375 0.001
0.00011893 0.001
4.488e-05 0.001
0.00042035 0.001
0.00173697 0.001
0.00057256 0.001
0.00297485 0.001
0.00146528 0.001
0.00023954 0.001
0.00111087 0.001
6.129e-05 0.001
0.00010572 0.001
0.00047364 0.001
0.00016058 0.001
0.00119521 0.001
0.00129076 0.001
0.00028477 0.001
6.946e-05 0.001
9.12e-06 0.001
0.00036032 0.001
2.868e-05 0.001
0.0009714 0.001
5.873e-05 0.001
0.00020953 0.001
3.075e-05 0.001
0.00032571 0.001
0.00031995 0.001
0.00013908 0.001
0.00014627 0.001
0.0001765 0.001
0.00012757 0.001
0.0111999 0.001
0.00299421 0.001
0.00252025 0.001
0.00265988 0.001
5.731e-05 0.001
0.00010465 0.001
9.618e-05 0.001
0.00029743 0.001
0.00017432 0.001
0.00014416 0.001
0.0002988 0.001
0.00016515 0.001
0.00114124 0.001
0.00863103 0.001
0.00061188 0.001
0.0915888 0.001
0.00039574 0.001
6.104e-05 0.001
0.00241246 0.001
0.00055617 0.001
0.0513486 0.001
7.456e-05 0.001
0.0006649 0.001
0.00347686 0.001
0.00343774 0.001
0.00207442 0.001
0.00503681 0.001
0.00053697 0.001
0.00099589 0.001
0.00033524 0.001
9.753e-05 0.001
0.00032066 0.001
0.00043803 0.001
0.00076013 0.001
8.437e-05 0.001
0.00032015 0.001
0.00012001 0.001
0.00363848 0.001
0.00378742 0.001
0.00111074 0.001
0.00025502 0.001
0.00106333 0.001
0.00030503 0.001
0.00016146 0.001
7.39e-05 0.001
0.00535965 0.001
0.00065181 0.001
0.00648902 0.001
0.00048171 0.001
0.00056775 0.001
0.0002669 0.001
0.00158663 0.001
0.0154489 0.001
0.00368039 0.001
0.00027257 0.001
0.00076179 0.001
0.00453999 0.001
0.00222202 0.001
0.0273617 0.001
0.00130884 0.001
0.0100608 0.001
0.0001441 0.001
3.66e-05 0.001
0.0008859 0.001
9.48e-06 0.001
1.058e-05 0.001
1.7e-06 0.001
2.89e-06 0.001
3.68e-06 0.001
5.22e-06 0.001
5.815e-05 0.001
0.00027797 0.001
0.00030657 0.001
7.768e-05 0.001
5.19e-05 0.001
6.386e-05 0.001
0.00017704 0.001
9.117e-05 0.001
0.00017715 0.001
0.00072429 0.001
8.88e-06 0.001
3.35e-06 0.001
2.11e-06 0.001
2.5e-06 0.001
5.91e-06 0.001
7.8e-07 0.001
1.8e-06 0.001
6e-07 0.001
2.82e-06 0.001
5.42e-06 0.001
4.01e-06 0.001
1.93e-06 0.001
1.31e-06 0.001
1.86e-06 0.001
1.86e-06 0.001
3.12e-06 0.001
0.0043767 0.001
0.00852903 0.001
0.0034213 0.001
0.00268811 0.001
0.00074578 0.001
0.00200524 0.001
0.00064706 0.001
0.00024334 0.001
0.0168692 0.001
8.312e-05 0.001
0.0007008 0.001
0.00036233 0.001
0.00022544 0.001
0.00044603 0.001
0.00161292 0.001
0.00041522 0.001
0.00021516 0.001
0.00061465 0.001
0.0009315 0.001
0.00037259 0.001
0.00052239 0.001
0.00248016 0.001
0.00169887 0.001
0.00096325 0.001
0.001303 0.001
5.597e-05 0.001
0.00021674 0.001
0.00016521 0.001
0.00031344 0.001
8.498e-05 0.001
0.00016879 0.001
0.00018806 0.001
0.00032025 0.001
0.00022042 0.001
0.00010846 0.001
9.47e-06 0.001
7.517e-05 0.001
0.0003185 0.001
0.00098587 0.001
0.00010707 0.001
9.176e-05 0.001
0.00011464 0.001
0.00035794 0.001
0.00016083 0.001
2.338e-05 0.001
0.00022989 0.001
0.0289189 0.001
0.00681808 0.001
0.0256457 0.001
0.00290508 0.001
0.00273154 0.001
0.0008239 0.001
0.00142024 0.001
0.00014704 0.001
0.00409846 0.001
0.0102068 0.001
0.0829154 0.001
0.0567155 0.001
0.0178841 0.001
9.802e-05 0.001
0.00059311 0.001
6.763e-05 0.001
0.00031109 0.001
0.00021892 0.001
0.00411356 0.001
0.00571778 0.001
0.00241578 0.001
0.0734102 0.001
0.263179 0.001
0.00051764 0.001
0.00120527 0.001
0.00059334 0.001
5.09e-05 0.001
0.00132793 0.001
0.0035795 0.001
0.00296026 0.001
0.00152579 0.001
0.00068037 0.001
0.0090006 0.001
0.0136832 0.001
0.00219841 0.001
0.00321629 0.001
0.00192703 0.001
0.00199936 0.001
0.00165918 0.001
0.087628 0.001
0.00654631 0.001
0.00426957 0.001
0.00113425 0.001
0.00035829 0.001
0.00082753 0.001
0.00149802 0.001
6.943e-05 0.001
0.00172091 0.001
0.00095637 0.001
2.238e-05 0.001
0.00038619 0.001
4.967e-05 0.001
0.00037837 0.001
0.00397363 0.001
0.0338974 0.001
0.0035641 0.001
0.0168284 0.001
0.00787467 0.001
0.00379845 0.001
0.00106483 0.001
0.00128526 0.001
0.00073263 0.001
0.00027301 0.001
8.712e-05 0.001
0.00226576 0.001
0.00051575 0.001
7.251e-05 0.001
0.0007765 0.001
0.00208328 0.001
0.00211955 0.001
0.00095428 0.001
0.00293113 0.001
0.00349645 0.001
0.00079944 0.001
0.00034183 0.001
1.067e-05 0.001
0.00033437 0.001
0.00015853 0.001
0.00018411 0.001
0.00020293 0.001
0.00045133 0.001
0.00036278 0.001
0.00171937 0.001
0.00099194 0.001
0.00413126 0.001
0.0002466 0.001
0.00082455 0.001
0.0017145 0.001
0.00154673 0.001
0.00144788 0.001
0.00125396 0.001
0.00029568 0.001
0.00277753 0.001
0.00042726 0.001
0.00130104 0.001
0.00406108 0.001
0.100207 0.001
0.00014791 0.001
0.00055134 0.001
0.00020821 0.001
0.0001603 0.001
0.00099787 0.001
0.00011778 0.001
0.00734238 0.001
0.015398 0.001
0.015348 0.001
0.013425 0.001
0.0111294 0.001
0.150494 0.001
0.00026275 0.001
0.00013208 0.001
0.00104097 0.001
0.00016496 0.001
0.00084662 0.001
0.00126697 0.001
0.00063341 0.001
0.00032201 0.001
0.00061425 0.001
0.00069622 0.001
0.00059157 0.001
8.228e-05 0.001
5.404e-05 0.001
8.268e-05 0.001
0.00330101 0.001
0.00287943 0.001
0.0102814 0.001
0.00102633 0.001
0.00035109 0.001
0.00160843 0.001
0.0355149 0.001
0.00407581 0.001
0.0157775 0.001
0.0006938 0.001
0.00363715 0.001
0.00033505 0.001
0.00013443 0.001
0.00118342 0.001
4.94e-05 0.001
0.00350179 0.001
0.00038424 0.001
0.00090612 0.001
0.00126538 0.001
0.00051325 0.001
0.00748305 0.001
0.00045172 0.001
0.00061215 0.001
0.00114861 0.001
0.00020428 0.001
0.00044331 0.001
0.00052651 0.001
3.451e-05 0.001
4.514e-05 0.001
1.43e-05 0.001
3.47e-05 0.001
0.00011277 0.001
0.00018204 0.001
0.00026837 0.001
5.137e-05 0.001
0.00064146 0.001
0.00190799 0.001
0.00019365 0.001
0.00079575 0.001
0.00227618 0.001
2.938e-05 0.001
0.00017507 0.001
0.0001389 0.001
1.458e-05 0.001
6.814e-05 0.001
0.00061405 0.001
0.00010035 0.001
0.00040668 0.001
0.0131363 0.001
0.00025213 0.001
0.00052577 0.001
0.00103143 0.001
0.00046797 0.001
0.00011324 0.001
2.153e-05 0.001
0.00014858 0.001
0.0007901 0.001
0.00017173 0.001
0.00103248 0.001
0.00112982 0.001
0.00768442 0.001
0.00127434 0.001
0.00029887 0.001
0.00569234 0.001
0.017784 0.001
0.00117649 0.001
0.00627574 0.001
0.00080103 0.001
0.0003328 0.001
5.375e-05 0.001
0.00017222 0.001
7.33e-06 0.001
0.00059129 0.001
0.00012517 0.001
0.0168992 0.001
0.00037724 0.001
0.00127146 0.001
0.0008912 0.001
0.00065828 0.001
4.828e-05 0.001
0.00081994 0.001
3.221e-05 0.001
9.229e-05 0.001
4.541e-05 0.001
0.00020925 0.001
0.00014507 0.001
0.00017155 0.001
0.00016632 0.001
1.961e-05 0.001
3.498e-05 0.001
0.00131467 0.001
0.0167252 0.001
0.0083374 0.001
0.00169075 0.001
0.00186298 0.001
0.00081311 0.001
8.308e-05 0.001
0.00043913 0.001
0.00316309 0.001
0.00196552 0.001
0.00024185 0.001
0.00032542 0.001
0.00025387 0.001
4.481e-05 0.001
3.528e-05 0.001
0.00070416 0.001
0.00122573 0.001
0.0506205 0.001
0.00112965 0.001
0.0008427 0.001
0.0382431 0.001
0.182948 0.001
0.00071654 0.001
0.0017192 0.001
0.00241024 0.001
0.00026675 0.001
0.00767419 0.001
0.00025574 0.001
0.00057158 0.001
0.00058562 0.001
0.00051547 0.001
0.00025044 0.001
0.00085491 0.001
0.00046952 0.001
0.00055574 0.001
0.00130658 0.001
0.00021137 0.001
0.0184971 0.001
0.00672708 0.001
0.00083073 0.001
0.00080292 0.001
1.401e-05 0.001
0.00051729 0.001
4.07e-06 0.001
2.462e-05 0.001
0.00015741 0.001
2.846e-05 0.001
9.07e-06 0.001
4.206e-05 0.001
6.756e-05 0.001
7.73e-06 0.001
9.45e-06 0.001
5.042e-05 0.001
6.606e-05 0.001
0.00094817 0.001
9.996e-05 0.001
0.00040955 0.001
0.00330662 0.001
9.348e-05 0.001
0.00010867 0.001
0.00019181 0.001
0.00072929 0.001
0.0004752 0.001
0.00119546 0.001
0.00142502 0.001
0.00112987 0.001
0.00011234 0.001
0.00110836 0.001
0.0143018 0.001
0.00060134 0.001
0.00021559 0.001
0.00017552 0.001
0.00036541 0.001
0.00016087 0.001
0.00011749 0.001
3.794e-05 0.001
5.531e-05 0.001
7.026e-05 0.001
9.5e-06 0.001
9.824e-05 0.001
2.568e-05 0.001
2.873e-05 0.001
0.00157135 0.001
0.00019923 0.001
3.625e-05 0.001
3.536e-05 0.001
0.00108715 0.001
5.423e-05 0.001
0.00010584 0.001
0.00143619 0.001
0.00015474 0.001
0.00333264 0.001
0.036855 0.001
0.111981 0.001
0.00072109 0.001
0.00041417 0.001
0.00073187 0.001
0.00297531 0.001
0.00128102 0.001
0.00027336 0.001
0.00164214 0.001
0.00018153 0.001
0.0010733 0.001
0.00090947 0.001
0.040926 0.001
0.0130462 0.001
0.0215553 0.001
0.0018993 0.001
0.00085275 0.001
0.00040686 0.001
0.00104095 0.001
0.00049346 0.001
0.0002624 0.001
0.00023298 0.001
7.203e-05 0.001
0.0115265 0.001
0.00050532 0.001
0.00030084 0.001
0.00015803 0.001
4.075e-05 0.001
0.00116689 0.001
5.916e-05 0.001
0.00027212 0.001
4.58e-05 0.001
0.00138105 0.001
0.0012395 0.001
0.00033417 0.001
0.00082296 0.001
0.00027927 0.001
0.00026349 0.001
0.00038179 0.001
1.488e-05 0.001
3.178e-05 0.001
0.00109891 0.001
0.0003203 0.001
0.00010285 0.001
4.658e-05 0.001
2.934e-05 0.001
4.444e-05 0.001
0.00155283 0.001
3.223e-05 0.001
1.172e-05 0.001
0.00060865 0.001
1.173e-05 0.001
1.602e-05 0.001
1.905e-05 0.001
6.11e-06 0.001
6.57e-06 0.001
1.392e-05 0.001
1.125e-05 0.001
3.955e-05 0.001
5.85e-06 0.001
0.00022159 0.001
0.00056095 0.001
5.328e-05 0.001
0.00015265 0.001
0.00038725 0.001
0.00020049 0.001
0.00040612 0.001
0.00028521 0.001
0.00104469 0.001
0.00386327 0.001
0.00906841 0.001
0.00738065 0.001
6.994e-05 0.001
9.364e-05 0.001
8.68e-05 0.001
0.00010755 0.001
0.00087529 0.001
0.00077136 0.001
0.0053577 0.001
0.0266855 0.001
0.00011583 0.001
0.00056696 0.001
0.00073407 0.001
4.13e-05 0.001
7.645e-05 0.001
8.301e-05 0.001
0.00015881 0.001
0.00015096 0.001
0.0001734 0.001
2.724e-05 0.001
3.227e-05 0.001
3.495e-05 0.001
3.918e-05 0.001
0.00141109 0.001
7.948e-05 0.001
0.00073331 0.001
0.00079415 0.001
2.784e-05 0.001
0.00074066 0.001
0.0732617 0.001
0.00027799 0.001
0.00014616 0.001
0.0159005 0.001
0.0185376 0.001
0.00103121 0.001
0.00146709 0.001
0.00081904 0.001
0.0002967 0.001
6.357e-05 0.001
0.00125024 0.001
0.00663625 0.001
0.00027194 0.001
6.303e-05 0.001
0.00137929 0.001
0.00030612 0.001
0.00030326 0.001
0.00015914 0.001
0.00031551 0.001
0.00149314 0.001
0.00173555 0.001
0.00018925 0.001
1.922e-05 0.001
0.00019044 0.001
0.00012579 0.001
0.0006044 0.001
0.00146566 0.001
0.0020775 0.001
0.00096852 0.001
0.144779 0.001
0.00657851 0.001
0.0014559 0.001
0.00050775 0.001
4.63e-06 0.001
0.00107322 0.001
0.00272387 0.001
0.0124164 0.001
0.00217877 0.001
0.00369949 0.001
0.00015506 0.001
0.00090527 0.001
0.0396755 0.001
5.387e-05 0.001
0.00015149 0.001
0.127237 0.001
0.0615978 0.001
0.00224739 0.001
0.00180836 0.001
0.00281793 0.001
0.00220454 0.001
0.0004417 0.001
0.00071925 0.001
0.0003818 0.001
0.00184478 0.001
0.0008771 0.001
0.00116919 0.001
9.662e-05 0.001
0.00085596 0.001
0.00012456 0.001
0.00174224 0.001
0.0107062 0.001
0.00128588 0.001
0.00240295 0.001
0.00210111 0.001
0.00353919 0.001
0.00043845 0.001
0.00069857 0.001
0.00012133 0.001
5.799e-05 0.001
